Title,Content,Post Type,Permalink,Rubbish Tip Locations - Categories,Rubbish Tip Locations - Region,Rubbish Tip Locations - Accepted Materials,Slug,Custom URI,field_name,address,street,street2,city,province,zip,country,lat,lng
Auburn Recycling Centre,"EPL NO. 10935

One of the Southern Hemisphere's most innovative recycling centres. Operating with state-of-the-art machinery, innovative technology and globally sourced infrastructure, Auburn is a fully-equipped, modern facility. It services the Inner-West and Northern Suburbs of Sydney and also accounts for after hour tipping. This Recycling Centre also caters for all truck tipping and recycling needs, as well as offering designated hand-unloading areas.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/auburn-recycling-centre-auburn-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,auburn-recycling-centre-auburn-recycling-centre,sydney/auburn-recycling-centre-auburn-recycling-centre,location_address,"3/5 Duck St, Auburn NSW 2144, Australia",Duck St,,Sydney,New South Wales,2144,AU,-33.835834,151.02777
Eastern Creek Recycling Centre & Rubbish Tip,"The Eastern Creek Recycling Ecology Park (&amp; Landfill) is open from Monday to Saturday, 6 days a week. It is ideally located to service trades, builders, business and households in Sydney's Western suburbs. Now accepting asbestos waste.

Contact us and find out about our competitive rates.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/eastern-creek-recycling-centre-eastern-creek-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,eastern-creek-recycling-centre-eastern-creek-recycling-centre,sydney/eastern-creek-recycling-centre-eastern-creek-recycling-centre,location_address,"Honeycomb Dr, Eastern Creek NSW 2766, Australia",Honeycomb Drive,,Sydney,New South Wales,2766,AU,-33.802122,150.834432
Greenacre Recycling Centre,"Our Greenacre facility is ideally located for any trade, household, renovation or building project in the Inner-West or North-West of Sydney. This recycling centre has all-weather access and full concrete hardstand.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/greenacre-recycling-centre-greenacre-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,greenacre-recycling-centre-greenacre-recycling-centre,sydney/greenacre-recycling-centre-greenacre-recycling-centre,location_address,"35 Wentworth St, Greenacre NSW 2190, Australia",Wentworth Street,,Sydney,New South Wales,2191,AU,-33.90146,151.069607
Kembla Grange Recycling Center,"EPL NO. 20601

Our Kembla Grange facility services the Illawarra and is located 5 minutes outside the Wollongong CBD. With dual weighbridges for faster turnarounds, the facility is open 6 days a week.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/kembla-grange-recycling-center-kembla-grange-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,kembla-grange-recycling-center-kembla-grange-recycling-centre,sydney/kembla-grange-recycling-center-kembla-grange-recycling-centre,location_address,"50 Wyllie Rd, Kembla Grange NSW 2526, Australia",Wyllie Road,,Wollongong City Council,New South Wales,2526,AU,-34.467489,150.819755
Mortdale Recycling Centre,"EPL NO. 20622

Our Mortdale Recycling Centre is strategically located to service the southern suburbs of Sydney.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/mortdale-recycling-centre-mortdale-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,mortdale-recycling-centre-mortdale-recycling-centre,sydney/mortdale-recycling-centre-mortdale-recycling-centre,location_address,"20 Hearne St, Mortdale NSW 2223, Australia",Hearne Street,,Sydney,New South Wales,2223,AU,-33.965621,151.065763
Revesby Recycling Centre,"EPL NO. 20607

Strategically located in Sydney's South-West, Revesby Recycling Centre services the Inner-West, South-West and southern suburbs of Sydney. This state-of-the-art centre is equipped with innovative technology, offering customers a seamless process from the point of drop off to exit.

With convenient unloading, weighbridges and more, the Revesby facility has all-weather access and is suitable for all trades, including construction and development. The recycling facility continues to work towards providing sustainable solutions and environmentally-friendly efforts.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/revesby-recycling-centre-revesby-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,revesby-recycling-centre-revesby-recycling-centre,sydney/revesby-recycling-centre-revesby-recycling-centre,location_address,"37/51 Violet St, Condell Park NSW 2200, Australia",,,,,,,-33.937998,151.006432
Tomago Recycling Centre,"EPL NO. 20585

The Tomago recycling facility is centrally located to service the Newcastle &amp; Hunter region, based just 10km north of the Newcastle business hub.

The centre is undercover allowing for all-weather tipping and is also equipped with a concrete hardstand for additional convenience.

Contact us and find out about our competitive rates. View the Site Safety Map below for more information on how to navigate the recycling centre.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/tomago-recycling-centre-tomago-recycling-centre/,Recycling Centre,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,tomago-recycling-centre-tomago-recycling-centre,sydney/tomago-recycling-centre-tomago-recycling-centre,location_address,"29 Laverick Ave, Tomago NSW 2322, Australia",Laverick Avenue,,Newcastle-Maitland,New South Wales,2322,AU,-32.825211,151.706457
Moonee Valley Transfer Station - Aberfieldia,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/moonee-valley-transfer-station-avberfieldia-transfer-station/,Transfer Station,Melbourne,Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Plastics|Rubber,moonee-valley-transfer-station-avberfieldia-transfer-station,melbourne/moonee-valley-transfer-station-avberfieldia-transfer-station,location_address,"188 Holmes Rd, Aberfeldie VIC 3040, Australia",188 Holmes Road,,Melbourne,Victoria,3040,AU,-37.764235,144.902136
Bayside Waste And Recycling Centre - Cheltenham,"<strong>What is accepted at the Waste and Recycling Centre?</strong>

Bayside residents can dispose of the following materials free of charge. Items must be separated and placed in designated areas:

aluminium and steel cans
glass and plastic bottles
milk and juice cartons
paper and cardboard (quantities up to a boot-load will be accepted free of charge. Anything larger will be deemed as a commercial load and will incur a fee)
wine bottle corks
household batteries
car batteries
scrap metal and white goods
LPG gas bottles
household paint – empty or full paint tins up to 100 litres of trade or residential paints that adhere to Paintback's accepted product list.
household fluorescent tubes (commercial quantities not accepted)
household light globes compact fluorescent globes (commercial quantities not accepted)
e-waste – printers, monitors, central processing units of computers.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/bayside-waste-and-recycling-centre-cheltenham-recycling-centre/,Recycling Centre,Melbourne,Batteries|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,bayside-waste-and-recycling-centre-cheltenham-recycling-centre,melbourne/bayside-waste-and-recycling-centre-cheltenham-recycling-centre,location_address,,144 Talinga Road,,Melbourne,Victoria,3190,AU,-37.961806,145.037119
Monash Waste Transfer And Recycling Station - Notting Hill,"The Waste Transfer Station is at 380 Ferntree Gully Rd, Notting Hill. Phone: 9518 3555.

It is closed on some public holidays including: Christmas Day, Boxing Day, New Years’ Day, Good Friday, Easter Sunday and before noon on Anzac Day.

For staff and customer safety, the Transfer Station may temporarily close to the public during extreme weather conditions.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/monash-waste-transfer-and-recycling-station-notting-hill-transfer-station/,Transfer Station,Melbourne,Batteries|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,monash-waste-transfer-and-recycling-station-notting-hill-transfer-station,melbourne/monash-waste-transfer-and-recycling-station-notting-hill-transfer-station,location_address,"380 Ferntree Gully Rd, Notting Hill VIC 3168, Australia",380 Ferntree Gully Road,,Melbourne,Victoria,3168,AU,-37.901486,145.140537
Knox Transfer Station - Wantirna South,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/knox-transfer-station-wantirna-south-transfer-station/,Transfer Station,Melbourne,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,knox-transfer-station-wantirna-south-transfer-station,melbourne/knox-transfer-station-wantirna-south-transfer-station,location_address,"251 George St, Wantirna South VIC 3152, Australia",George Street,,Melbourne,Victoria,3152,AU,-37.882837,145.213378
Coldstream Transfer Station,"Yarra Ranges Recycling Services (YRRS) operate Recycling and Waste Transfer Stations (RWTS) at Coldstream and Wesburn. Our parent company KTS Recycling also operates Knox Transfer Station a Recycling and Waste Transfer Station at Wantirna South and Frankston Regional Recycling Centre(FRRRC) located in Skye.

Yarra Ranges Recycling Services working in conjunction with KTS Recycling and WM Waste Management Services provide valuable, local recycling and waste management / rubbish tip facilities for the Dandenong Ranges and Melbourne’s Eastern suburbs.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/coldstream-transfer-station-coldstream-transfer-station/,Transfer Station,Melbourne,Batteries|Green Waste|Metals|Paper &amp; Cardboard|Plastics,coldstream-transfer-station-coldstream-transfer-station,melbourne/coldstream-transfer-station-coldstream-transfer-station,location_address,"200 Leonard Rd, Lilydale VIC 3140, Australia",Leonard Road,,Melbourne,Victoria,3140,AU,-37.738976,145.394859
Frankston Transfer Station - Skye,"Items Accepted
The Frankston Regional Recycling and Recovery Centre (FRRRC) accepts most waste. However it is not a landfill site and FRRRC does not accept food, liquid or hazardous waste.

The gatehouse attendant will assess all materials prior to entry. The gatehouse attendant’s decision is final.

Free items
These are currently accepted free-of-charge, please note conditions *#:

BBQ gas bottles (9 kg bottles only)
Car batteries
Cardboard and paper
Co-mingled bottles, cans and jars *
E-waste (electronic goods including mobile phones)
Household batteries *
Light globes and fluorescent tubes *
Motor oil - must be clearly labelled in motor oil containers only. Maximum size 20 litre container (free for residents only)
Paint and paint tins #
Scrap metal
TVs / computers
VHS/DVD/CDs *
White goods - fridges, dishwashers etc
X-rays *",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/frankston-transfer-station-skye-transfer-station/,Transfer Station,Melbourne,Batteries|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,frankston-transfer-station-skye-transfer-station,melbourne/frankston-transfer-station-skye-transfer-station,location_address,"20 Harold Rd, Skye VIC 3977, Australia",20 Harold Road,,Melbourne,Victoria,3977,AU,-38.122577,145.218024
Wesburn Transfer Station,"Yarra Ranges Recycling Services (YRRS) operate Recycling and Waste Transfer Stations (RWTS) at Coldstream and Wesburn. Our parent company KTS Recycling also operates Knox Transfer Station a Recycling and Waste Transfer Station at Wantirna South and Frankston Regional Recycling Centre(FRRRC) located in Skye.

Yarra Ranges Recycling Services working in conjunction with KTS Recycling and WM Waste Management Services provide valuable, local recycling and waste management / rubbish tip facilities for the Dandenong Ranges and Melbourne’s Eastern suburbs.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/wesburn-transfer-station-wesburn-transfer-station/,Transfer Station,Melbourne,Batteries|Green Waste|Metals|Paper &amp; Cardboard|Plastics,wesburn-transfer-station-wesburn-transfer-station,melbourne/wesburn-transfer-station-wesburn-transfer-station,location_address,"689 Old Warburton Rd, Wesburn VIC 3799, Australia",Old Warburton Road,,Melbourne,Victoria,3799,AU,-37.77489,145.64936
Hampton Park Resource Recovery Park - Transfer Station,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/melbourne/hampton-park-resource-recovery-park-hampton-transfer-station/,Transfer Station,Melbourne,Clothes &amp; Textiles|Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics,hampton-park-resource-recovery-park-hampton-transfer-station,melbourne/hampton-park-resource-recovery-park-hampton-transfer-station,location_address,"274 Hallam Rd, Hampton Park VIC 3976, Australia",274 Hallam Road,,Melbourne,Victoria,3976,AU,-38.05407,145.267328
Cleanaway Rockdale Resource Recovery Centre - Transfer Station,"Open hours:
Monday: 6:00am – 5:00pm
Tuesday: 6:00am – 5:00pm
Wednesday: 6:00am – 5:00pm
Thursday: 6:00am – 5:00pm
Friday: 6:00am – 5:00pm
Saturday: 8:00am – 5:00pm
Sunday: 8:00am – 1:00pm",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-rockdale-resource-recovery-centre-rockdale-transfer-station/,Transfer Station,Sydney,Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-rockdale-resource-recovery-centre-rockdale-transfer-station,sydney/suez-rockdale-resource-recovery-centre-rockdale-transfer-station,location_address,"5 Lindsay St, Rockdale NSW 2216, Australia",Lindsay Street,,Sydney,New South Wales,2216,AU,-33.958338,151.143779
Cleanaway Lucas Heights Resource Recovery Park - Transfer Station,"The SUEZ Lucas Heights facility helps divert organics from going to landfill by converting it into high-quality composts and soil conditioners. The capacity of this facility is 50,000 tonnes of organic materials per year. Opened in 1987, the Lucas Heights Resource Recovery Park spans approximately 165 hectares and over 157,000 cars and trucks use the park each year.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-lucas-heights-resource-recovery-park-lucas-heights-transfer-station/,Transfer Station,Sydney,Asbestos|Batteries|Construction Material|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-lucas-heights-resource-recovery-park-lucas-heights-transfer-station,sydney/suez-lucas-heights-resource-recovery-park-lucas-heights-transfer-station,location_address,"Little Forest Rd, Lucas Heights NSW 2234, Australia",Little Forest Road,,Sydney,New South Wales,2234,AU,-34.044734,150.97355
Cleanaway Auburn Resource Recovery Centre - Sydney Olympic Park - Transfer Station,The Auburn Resource Recovery Centre provides drop-off facilities for waste disposal and recycling within Sydney.,charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-auburn-resource-recovery-centre-sydney-olympic-park-transfer-station/,Transfer Station,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-auburn-resource-recovery-centre-sydney-olympic-park-transfer-station,sydney/suez-auburn-resource-recovery-centre-sydney-olympic-park-transfer-station,location_address,"Old Hill Link, Sydney Olympic Park NSW 2127, Australia",Old Hill Link,,Sydney,New South Wales,2127,AU,-33.843226,151.058884
Cleanaway Artarmon Resource Recovery Centre - Transfer Station,"Opened in 1998 and upgraded in 2015, our Artarmon centre is located just off Sydney’s Pacific Highway. It provides reliable and accessible waste disposal for residents, businesses and local councils in the city’s central and northern suburbs.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-artarmon-resource-recovery-centre-artarmon-transfer-station/,Transfer Station,Sydney,Construction Material|Electronics|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-artarmon-resource-recovery-centre-artarmon-transfer-station,sydney/suez-artarmon-resource-recovery-centre-artarmon-transfer-station,location_address,"12 Lanceley Pl, Artarmon NSW 2064, Australia",12 Lanceley Place,,Sydney,New South Wales,2064,AU,-33.819505,151.186842
Cleanaway Ryde Resource Recovery Centre - North Ryde - Transfer Station,"Since opening in 1995, our waste management centre at Ryde has provided a convenient service for the disposal and recycling of a broad range of materials to residents, businesses and local councils in Sydney’s north and north-west.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-ryde-resource-recovery-centre-north-ryde-transfer-station/,Transfer Station,Sydney,Construction Material|Green Waste|Metals|Paper &amp; Cardboard,suez-ryde-resource-recovery-centre-north-ryde-transfer-station,sydney/suez-ryde-resource-recovery-centre-north-ryde-transfer-station,location_address,"145 Wicks Rd, North Ryde NSW 2113, Australia",Wicks Road,,Sydney,New South Wales,2113,AU,-33.785849,151.138499
Cleanaway Belrose Resource Recovery Centre - Transfer Station,,charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-belrose-resource-recovery-centre-belrose-transfer-station/,Transfer Station,Sydney,Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-belrose-resource-recovery-centre-belrose-transfer-station,sydney/suez-belrose-resource-recovery-centre-belrose-transfer-station,location_address,"Crozier Rd, Belrose NSW 2085, Australia",Crozier Road,,Sydney,New South Wales,2085,AU,-33.71618,151.215469
SUEZ Seven Hills Resource Recovery Centre - Transfer Station,"SUEZ waste management centre at Seven Hills opened in 1998 and is open 24 hours a day on weekdays. The 1.8-hectare site services residents, businesses and local councils across Sydney’s west and north-west, allowing for the disposal and recycling of a broad range of materials.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-seven-hills-resource-recovery-centre-seven-hills-transfer-station/,Transfer Station,Sydney,Batteries|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-seven-hills-resource-recovery-centre-seven-hills-transfer-station,sydney/suez-seven-hills-resource-recovery-centre-seven-hills-transfer-station,location_address,"29 Powers Rd, Seven Hills NSW 2147, Australia",Powers Road,,Sydney,New South Wales,2147,AU,-33.775729,150.952007
Veolia Wetherill Resource Recovery Facility - Transfer Station,"Our Resource Recovery &amp; Recycling Facilities provide a consolidation point for unsorted material collected from residential or commercial premises and from public drop-off facilities. These facilities are purpose built to accept, process and transform materials into valuable, beneficial products for reuse.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-wetherill-resource-recovery-facility-wetherill-park-transfer-station/,Transfer Station,Sydney,Asbestos|Batteries|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,suez-wetherill-resource-recovery-facility-wetherill-park-transfer-station,sydney/suez-wetherill-resource-recovery-facility-wetherill-park-transfer-station,location_address,"20 Davis Rd, Wetherill Park NSW 2164, Australia",Davis Road,,Sydney,New South Wales,2164,AU,-33.836345,150.896853
Veolia Eastern Creek Resource Recovery Park - Transfer Station,"Eastern Creek Resource Recovery Park in Sydney’s west is home to two innovative waste processing facilities: an ORRF, diverting organics from landfill and converting them into valuable resources for healthy plant growth; and an ARRT, which uses advanced specialist technologies to recover and recycle more from waste. Together, these facilities lead the change from traditional waste disposal to economically sustainable resource recovery solutions.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/suez-eastern-creek-resource-recovery-park-eastern-creek-transfer-station/,Transfer Station,Sydney,Green Waste|Metals|Paper &amp; Cardboard|Plastics,suez-eastern-creek-resource-recovery-park-eastern-creek-transfer-station,sydney/suez-eastern-creek-resource-recovery-park-eastern-creek-transfer-station,location_address,"Wallgrove Rd, Eastern Creek NSW 2766, Australia",Wallgrove Road,,Sydney,New South Wales,2766,AU,-33.806457,150.851654
Greenwood Landfill & Waste Recovery Facility - St Ives - Rubbish Tip,"Waste Tipping
Landfill Tip St Ives, Sydney
Pick Up Recycled Products
Buy Landscape Supplies
Buy Crushed Concrete &amp; Aggregates
Recycled Material Delivery
Resource Recovery Facility, St Ives Sydney
Tip off waste materials or pick up quality recycled products &amp; landscape supplies at Greenwood Landfill &amp; Waste Recovery Facility, St Ives. Buy bulk landscaping supplies at wholesale prices. Davis Earthmoving offers truck delivery for recycled materials in load sizes of 2 tonne up to 36 tonne and bulk haulage available.

Our aim is to process various waste materials and recycle resources to create environmentally sustainable products for beneficial re-use and re-sale. Davis Earthmoving is contributing to the circular economy by specialising in recovering resources for a sustainable earth. By choosing recycled products you are joining our community who are committed to waste minimisation.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/sydney/greenwood-landfill-waste-recovery-facility-st-ives-rubbish-tip/,Rubbish Tip,Sydney,Construction Material|Metals|Paper &amp; Cardboard|Plastics|Rubber,greenwood-landfill-waste-recovery-facility-st-ives-rubbish-tip,sydney/greenwood-landfill-waste-recovery-facility-st-ives-rubbish-tip,location_address,"447 Mona Vale Rd, St Ives NSW 2075, Australia",Mona Vale Road,,Sydney,New South Wales,2075,AU,-33.712793,151.192828
Nudgee Beach Transfer Station,"How to use the centres
As you enter a resource recovery centre, you will be asked what types of materials you have for recycling or disposal. The attendant will direct you to the appropriate areas. All domestic recyclable materials are processed for free.

If you only have recyclable items or tip shop donations, go to the free recycling area and sort your materials into the correct collection point.

If you have free recycling and green or general waste:

Go to the free recycling area first then drive to a second weighbridge that leads to the other disposal areas. All materials unloaded after the second weighbridge will attract fees or waste vouchers.
If you only have green or general waste (no recycling), go directly to the disposal areas, where all materials will attract fees or waste vouchers.

Waste vouchers, fees and charges
To dispose of general waste or green waste, fees apply, or you can use your waste vouchers. Recycling for vehicles under 4.5 tonnes Combined Gross Vehicle Mass (CGVM) is free.

Recycling
If your vehicle is less than 4.5 tonnes CGVM, you can use the recycling areas at our resource recovery centres for free.

General waste
Waste vouchers or fees apply to dispose of general waste at a resource recovery centre.

Green waste
Waste vouchers or fees apply to dispose of green waste to be recycled. Green waste material comes from the garden. Items include branches, palm fronds, weeds, tree and shrub prunings, loose bark and grass clippings.

Council offers free green waste recycling drop-off weekends to help residents clean up their gardens. Here's our list of upcoming green waste recycling drop-off events.

Safety
When visiting the resource recovery centres, dress for safety. Council recommends fully enclosed shoes, long pants, protective glasses such as sunglasses and protective gloves. Children under 12 and family pets must remain in your vehicle at all times. For heavy loads, bring a friend or family member to help you unload.

Council's resource recovery centres are non-smoking sites.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/nudgee-beach-transfer-station-nudgee-beach-transfer-station/,Transfer Station,Brisbane,Batteries|Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,nudgee-beach-transfer-station-nudgee-beach-transfer-station,brisbane/nudgee-beach-transfer-station-nudgee-beach-transfer-station,location_address,"1372 Nudgee Rd, Nudgee QLD 4014, Australia",Nudgee Road,,,Queensland,4014,AU,-27.368256,153.100963
Willawong Transfer Station,"How to use the centres
As you enter a resource recovery centre, you will be asked what types of materials you have for recycling or disposal. The attendant will direct you to the appropriate areas. All domestic recyclable materials are processed for free.

If you only have recyclable items or tip shop donations, go to the free recycling area and sort your materials into the correct collection point.

If you have free recycling and green or general waste:

Go to the free recycling area first then drive to a second weighbridge that leads to the other disposal areas. All materials unloaded after the second weighbridge will attract fees or waste vouchers.
If you only have green or general waste (no recycling), go directly to the disposal areas, where all materials will attract fees or waste vouchers.

Waste vouchers, fees and charges
To dispose of general waste or green waste, fees apply, or you can use your waste vouchers. Recycling for vehicles under 4.5 tonnes Combined Gross Vehicle Mass (CGVM) is free.

Recycling
If your vehicle is less than 4.5 tonnes CGVM, you can use the recycling areas at our resource recovery centres for free.

General waste
Waste vouchers or fees apply to dispose of general waste at a resource recovery centre.

Green waste
Waste vouchers or fees apply to dispose of green waste to be recycled. Green waste material comes from the garden. Items include branches, palm fronds, weeds, tree and shrub prunings, loose bark and grass clippings.

Council offers free green waste recycling drop-off weekends to help residents clean up their gardens. Here's our list of upcoming green waste recycling drop-off events.

Safety
When visiting the resource recovery centres, dress for safety. Council recommends fully enclosed shoes, long pants, protective glasses such as sunglasses and protective gloves. Children under 12 and family pets must remain in your vehicle at all times. For heavy loads, bring a friend or family member to help you unload.

Council's resource recovery centres are non-smoking sites.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/willawong-transfer-station-willawong-transfer-station/,Transfer Station,Brisbane,Batteries|Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,willawong-transfer-station-willawong-transfer-station,brisbane/willawong-transfer-station-willawong-transfer-station,location_address,"360 Sherbrooke Rd, Willawong QLD 4110, Australia",Sherbrooke Road,,,Queensland,4110,AU,-27.60208,153.005652
Ferny Grove Trasnfer Station,"How to use the centres
As you enter a resource recovery centre, you will be asked what types of materials you have for recycling or disposal. The attendant will direct you to the appropriate areas. All domestic recyclable materials are processed for free.

If you only have recyclable items or tip shop donations, go to the free recycling area and sort your materials into the correct collection point.

If you have free recycling and green or general waste:

Go to the free recycling area first then drive to a second weighbridge that leads to the other disposal areas. All materials unloaded after the second weighbridge will attract fees or waste vouchers.
If you only have green or general waste (no recycling), go directly to the disposal areas, where all materials will attract fees or waste vouchers.

Waste vouchers, fees and charges
To dispose of general waste or green waste, fees apply, or you can use your waste vouchers. Recycling for vehicles under 4.5 tonnes Combined Gross Vehicle Mass (CGVM) is free.

Recycling
If your vehicle is less than 4.5 tonnes CGVM, you can use the recycling areas at our resource recovery centres for free.

General waste
Waste vouchers or fees apply to dispose of general waste at a resource recovery centre.

Green waste
Waste vouchers or fees apply to dispose of green waste to be recycled. Green waste material comes from the garden. Items include branches, palm fronds, weeds, tree and shrub prunings, loose bark and grass clippings.

Council offers free green waste recycling drop-off weekends to help residents clean up their gardens. Here's our list of upcoming green waste recycling drop-off events.

Safety
When visiting the resource recovery centres, dress for safety. Council recommends fully enclosed shoes, long pants, protective glasses such as sunglasses and protective gloves. Children under 12 and family pets must remain in your vehicle at all times. For heavy loads, bring a friend or family member to help you unload.

Council's resource recovery centres are non-smoking sites.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/ferny-grove-trasnfer-station-ferny-grove-transfer-station/,Transfer Station,Brisbane,Batteries|Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,ferny-grove-trasnfer-station-ferny-grove-transfer-station,brisbane/ferny-grove-trasnfer-station-ferny-grove-transfer-station,location_address,"101 Upper Kedron Rd, Ferny Grove QLD 4055, Australia",Upper Kedron Road,,Brisbane City,Queensland,4055,AU,-27.409417,152.93859
Chandler Transfer Station,"How to use the centres
As you enter a resource recovery centre, you will be asked what types of materials you have for recycling or disposal. The attendant will direct you to the appropriate areas. All domestic recyclable materials are processed for free.

If you only have recyclable items or tip shop donations, go to the free recycling area and sort your materials into the correct collection point.

If you have free recycling and green or general waste:

Go to the free recycling area first then drive to a second weighbridge that leads to the other disposal areas. All materials unloaded after the second weighbridge will attract fees or waste vouchers.
If you only have green or general waste (no recycling), go directly to the disposal areas, where all materials will attract fees or waste vouchers.

Waste vouchers, fees and charges
To dispose of general waste or green waste, fees apply, or you can use your waste vouchers. Recycling for vehicles under 4.5 tonnes Combined Gross Vehicle Mass (CGVM) is free.

Recycling
If your vehicle is less than 4.5 tonnes CGVM, you can use the recycling areas at our resource recovery centres for free.

General waste
Waste vouchers or fees apply to dispose of general waste at a resource recovery centre.

Green waste
Waste vouchers or fees apply to dispose of green waste to be recycled. Green waste material comes from the garden. Items include branches, palm fronds, weeds, tree and shrub prunings, loose bark and grass clippings.

Council offers free green waste recycling drop-off weekends to help residents clean up their gardens. Here's our list of upcoming green waste recycling drop-off events.

Safety
When visiting the resource recovery centres, dress for safety. Council recommends fully enclosed shoes, long pants, protective glasses such as sunglasses and protective gloves. Children under 12 and family pets must remain in your vehicle at all times. For heavy loads, bring a friend or family member to help you unload.

Council's resource recovery centres are non-smoking sites.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/chandler-transfer-station-chandler-transfer-station/,Transfer Station,Brisbane,Batteries|Clothes &amp; Textiles|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,chandler-transfer-station-chandler-transfer-station,brisbane/chandler-transfer-station-chandler-transfer-station,location_address,"728 Tilley Rd, Chandler QLD 4155, Australia",Tilley Road,,,Queensland,4155,AU,-27.514153,153.151575
